id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7108,Jonathan Burkardt,21,1554,8,6.991286312229931,2,2.5152483489364386,41,14,2,0,F M S,Mainz 05,7,6.233509694226086,10.678750865161419,3.7657033279538155
9783,Jae-Sung Lee,29,2150,6,6.214204024523497,3,3.710132916457951,38,32,6,0,F M S,Mainz 05,6,6.214204024523497,12.726068703457713,4.897844089195132
7109,Leandro Barreiro Martins,31,2600,4,5.028050007298589,1,1.3807551329955459,38,20,8,0,M S,Mainz 05,4,5.028050007298589,10.784912591800094,5.83985104970634
11310,Brajan Gruda,28,1671,4,4.42372371070087,3,5.52777498960495,30,43,5,0,F M S,Mainz 05,4,4.42372371070087,15.224408596754074,6.060056267306209
10721,Sepp van den Berg,33,2831,3,3.7091642525047064,0,0.5576253132894635,25,7,9,0,D S,Mainz 05,3,3.7091642525047064,6.752309799194336,6.562722461298108
6380,Anthony Caci,31,2506,2,1.8629314601421356,3,2.9395877309143543,31,25,8,0,D S,Mainz 05,2,1.8629314601421356,9.770811071619391,6.2692010048776865
6905,Ludovic Ajorque,26,1347,2,5.715712696313858,0,0.8593341186642647,30,15,4,0,F S,Mainz 05,2,4.200159281492233,6.111298134550452,2.058779038488865
82,Nadiem Amiri,15,1334,1,2.248440306633711,4,5.037941565737128,36,50,5,0,M,Mainz 05,1,1.490663643926382,6.714403588324785,4.706711899489164
269,Dominik Kohr,31,2216,1,1.9021731289103627,0,0.8735304730944335,25,15,13,1,D M S,Mainz 05,1,1.9021731289103627,5.235130553133786,3.878144847229123
1139,Silvan Widmer,20,1226,1,1.1907554073259234,3,3.6302779633551836,14,15,4,0,D M S,Mainz 05,1,1.1907554073259234,7.669031405821443,4.940777608193457
2631,Karim Onisiwo,24,1513,1,2.4827874237671494,3,1.9092329498380423,33,16,1,0,F M S,Mainz 05,1,2.4827874237671494,5.308682337403297,2.115310536697507
5235,Aymen Barkok,13,286,1,2.204937173984945,0,0.3915510047227144,12,5,2,0,M S,Mainz 05,1,1.4471604665741324,1.7998726647347212,0.35388972610235214
6357,Marco Richter,20,679,1,2.0621123649179935,0,1.9792995369061828,38,12,3,0,M S,Mainz 05,1,2.0621123649179935,3.9209891632199287,1.1464222418144345
7106,Philipp Mwene,23,2021,1,1.4282803563401103,2,2.306240428239107,24,23,4,1,D M,Mainz 05,1,1.4282803563401103,6.641070067882538,4.366441967897117
8092,Tom Krauß,29,1320,1,0.5937967412173748,2,0.6373225171118975,17,8,5,0,M S,Mainz 05,1,0.5937967412173748,3.8558023143559694,3.005203675478697
11309,Andreas Hanche-Olsen,15,1019,1,0.9961053840816021,0,0.012948278337717056,4,1,5,0,D S,Mainz 05,1,0.9961053840816021,2.4915835689753294,2.4786352943629026
40,Stefan Bell,10,667,0,0.2294920403510332,0,0.0905444547533989,4,1,3,0,D S,Mainz 05,0,0.2294920403510332,0.3876202367246151,0.17717087641358376
150,Josuha Guilavogui,11,389,0,0,1,0.06805159896612167,0,1,1,0,D S,Mainz 05,0,0,0.699214544147253,0.699214544147253
249,Danny da Costa,19,831,0,0.22208926919847727,1,1.5813138987869024,6,9,1,0,D S,Mainz 05,0,0.22208926919847727,2.93437541089952,1.2424132823944092
449,Robin Zentner,30,2700,0,0.026669420301914215,0,0.019722795113921165,1,1,3,0,GK,Mainz 05,0,0.026669420301914215,1.2927239798009396,1.2927239798009396
1673,Edimilson Fernandes,21,1277,0,0.5281554060056806,2,0.8149455729871988,15,18,4,0,D S,Mainz 05,0,0.5281554060056806,4.358554725535214,3.7199938520789146
5612,Anwar El Ghazi,3,44,0,0.05380818620324135,1,0.6269503235816956,1,2,0,0,S,Mainz 05,0,0.05380818620324135,0.7482239045202732,0.0674653947353363
8396,Jessic Ngankam,7,177,0,0.6522383149713278,0,0.43737077713012695,7,4,0,1,F M S,Mainz 05,0,0.6522383149713278,0.7197869997471571,0.3732178211212158
9178,Merveille Papela,11,264,0,0.4438758082687855,0,0.5349623532965779,4,3,1,0,D M S,Mainz 05,0,0.4438758082687855,1.5241789072752,1.0259344577789307
9703,Maxim Leitsch,7,377,0,0,0,0,0,0,0,0,D S,Mainz 05,0,0,0.33281970396637917,0.33281970396637917
9910,Anton Stach,2,176,0,0.16707142442464828,0,0.10254895687103271,2,2,0,0,M,Mainz 05,0,0.16707142442464828,0.37642957270145416,0.10680919885635376
11143,Nelson Weiper,5,114,0,0.6600031703710556,0,0.13063468039035797,2,2,0,0,F S,Mainz 05,0,0.6600031703710556,0.7906378507614136,0
11908,David Mamutovic,2,5,0,0,0,0,0,0,0,0,S,Mainz 05,0,0,0,0
12029,Daniel Batz,4,360,0,0,0,0,0,0,0,0,GK,Mainz 05,0,0,0.14293263852596283,0.14293263852596283
12226,Marcus Müller,1,15,0,0.013423766009509563,0,0,1,0,0,0,S,Mainz 05,0,0.013423766009509563,0.013423766009509563,0
