match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result,points
18590,2022-08-15 16:30:00,Serie_A,2022,Verona,Napoli,Home,2,5,1.13087,2.79803,6,25,l,0
18598,2022-08-21 18:45:00,Serie_A,2022,Verona,Bologna,Away,1,1,2.46808,1.13475,19,17,d,1
18609,2022-08-28 16:30:00,Serie_A,2022,Verona,Atalanta,Home,0,1,0.369511,0.843159,14,15,l,0
18615,2022-08-31 16:30:00,Serie_A,2022,Verona,Empoli,Away,1,1,0.589249,0.778503,9,16,d,1
18627,2022-09-04 16:00:00,Serie_A,2022,Verona,Sampdoria,Home,2,1,2.3433,0.798714,17,12,w,3
18637,2022-09-11 16:00:00,Serie_A,2022,Verona,Lazio,Away,0,2,0.40445,1.84525,7,15,l,0
18644,2022-09-18 13:00:00,Serie_A,2022,Verona,Fiorentina,Away,0,2,0.608308,2.8313,8,15,l,0
18654,2022-10-03 18:45:00,Serie_A,2022,Verona,Udinese,Home,1,2,0.284674,2.17728,7,21,l,0
18668,2022-10-09 13:00:00,Serie_A,2022,Verona,Salernitana,Away,1,2,0.947745,0.975817,12,14,l,0
18674,2022-10-16 18:45:00,Serie_A,2022,Verona,AC Milan,Home,1,2,1.93604,1.7368,20,16,l,0
18690,2022-10-24 18:45:00,Serie_A,2022,Verona,Sassuolo,Away,1,2,1.60903,1.45562,13,14,l,0
18694,2022-10-31 17:30:00,Serie_A,2022,Verona,Roma,Home,1,3,0.288065,3.03255,7,14,l,0
18707,2022-11-06 14:00:00,Serie_A,2022,Verona,Monza,Away,0,2,0.247304,0.739437,7,14,l,0
18714,2022-11-10 17:30:00,Serie_A,2022,Verona,Juventus,Home,0,1,1.14515,0.877959,15,11,l,0
18725,2022-11-13 14:00:00,Serie_A,2022,Verona,Spezia,Home,1,2,2.16554,0.752225,18,16,l,0
18740,2023-01-04 13:30:00,Serie_A,2022,Verona,Torino,Away,1,1,1.41144,0.468743,10,9,d,1
18744,2023-01-09 17:30:00,Serie_A,2022,Verona,Cremonese,Home,2,0,1.92775,0.810314,9,15,w,3
18755,2023-01-14 19:45:00,Serie_A,2022,Verona,Inter,Away,0,1,0.183795,0.608402,6,11,l,0
18764,2023-01-21 14:00:00,Serie_A,2022,Verona,Lecce,Home,2,0,0.625033,0.835357,11,9,w,3
18781,2023-01-30 19:45:00,Serie_A,2022,Verona,Udinese,Away,1,1,0.486279,2.4832,10,27,d,1
18784,2023-02-06 17:30:00,Serie_A,2022,Verona,Lazio,Home,1,1,1.21157,0.755429,15,9,d,1
18795,2023-02-13 17:30:00,Serie_A,2022,Verona,Salernitana,Home,1,0,1.41093,0.83116,14,8,w,3
18806,2023-02-19 19:45:00,Serie_A,2022,Verona,Roma,Away,0,1,0.578592,1.21643,7,9,l,0
18819,2023-02-27 17:30:00,Serie_A,2022,Verona,Fiorentina,Home,0,3,1.79742,1.9106,12,16,l,0
18830,2023-03-05 11:30:00,Serie_A,2022,Verona,Spezia,Away,0,0,0.96044,1.17042,11,20,d,1
18835,2023-03-12 14:00:00,Serie_A,2022,Verona,Monza,Home,1,1,0.584744,1.07345,8,9,d,1
18848,2023-03-19 11:30:00,Serie_A,2022,Verona,Sampdoria,Away,1,3,1.24738,1.63263,16,11,l,0
18857,2023-04-01 18:45:00,Serie_A,2022,Verona,Juventus,Away,0,1,0.406105,1.62901,10,10,l,0
18864,2023-04-08 16:30:00,Serie_A,2022,Verona,Sassuolo,Home,2,1,0.274094,1.66876,11,17,w,3
18877,2023-04-15 16:00:00,Serie_A,2022,Verona,Napoli,Away,0,0,0.356606,0.325523,5,9,d,1
18885,2023-04-21 18:45:00,Serie_A,2022,Verona,Bologna,Home,2,1,1.58693,1.54636,9,17,w,3
18893,2023-04-30 13:00:00,Serie_A,2022,Verona,Cremonese,Away,1,1,0.863565,0.547558,14,12,d,1
18904,2023-05-03 19:00:00,Serie_A,2022,Verona,Inter,Home,0,6,0.654593,3.16521,8,20,l,0
18915,2023-05-07 18:45:00,Serie_A,2022,Verona,Lecce,Away,1,0,0.591222,0.552346,9,15,w,3
18924,2023-05-14 10:30:00,Serie_A,2022,Verona,Torino,Home,0,1,0.409553,2.47106,14,15,l,0
18932,2023-05-20 16:00:00,Serie_A,2022,Verona,Atalanta,Away,1,3,1.17131,0.969521,10,13,l,0
18944,2023-05-28 10:30:00,Serie_A,2022,Verona,Empoli,Home,1,1,1.12855,1.11829,13,14,d,1
18956,2023-06-04 19:00:00,Serie_A,2022,Verona,AC Milan,Away,1,3,0.866359,2.26469,6,14,l,0
22305,2023-08-19 16:30:00,Serie_A,2023,Verona,Empoli,Away,1,0,0.690842,0.844727,10,10,w,3
22318,2023-08-26 18:45:00,Serie_A,2023,Verona,Roma,Home,2,1,0.904461,2.00413,5,23,w,3
22325,2023-09-01 16:30:00,Serie_A,2023,Verona,Sassuolo,Away,1,3,0.555465,2.62139,11,16,l,0
22344,2023-09-18 18:45:00,Serie_A,2023,Verona,Bologna,Home,0,0,0.408446,0.896605,9,11,d,1
22352,2023-09-23 13:00:00,Serie_A,2023,Verona,AC Milan,Away,0,1,0.845815,0.916672,10,9,l,0
22362,2023-09-27 16:30:00,Serie_A,2023,Verona,Atalanta,Home,0,1,0.325267,1.38356,11,8,l,0
22371,2023-10-02 16:30:00,Serie_A,2023,Verona,Torino,Away,0,0,0.273624,0.617691,5,8,d,1
22377,2023-10-08 13:00:00,Serie_A,2023,Verona,Frosinone,Away,1,2,0.506291,1.91977,16,11,l,0
22387,2023-10-21 13:00:00,Serie_A,2023,Verona,Napoli,Home,1,3,0.87241,2.65531,15,22,l,0
22403,2023-10-28 18:45:00,Serie_A,2023,Verona,Juventus,Away,0,1,0.318759,3.64831,7,30,l,0
22409,2023-11-05 11:30:00,Serie_A,2023,Verona,Monza,Home,1,3,1.12724,1.39014,16,12,l,0
22415,2023-11-10 19:45:00,Serie_A,2023,Verona,Genoa,Away,0,1,0.2458,2.04226,7,16,l,0
22427,2023-11-27 17:30:00,Serie_A,2023,Verona,Lecce,Home,2,2,1.94683,1.52186,19,14,d,1
22441,2023-12-03 14:00:00,Serie_A,2023,Verona,Udinese,Away,3,3,1.56674,2.14774,13,12,d,1
22449,2023-12-09 14:00:00,Serie_A,2023,Verona,Lazio,Home,1,1,0.792676,1.01398,5,14,d,1
22457,2023-12-17 14:00:00,Serie_A,2023,Verona,Fiorentina,Away,0,1,2.92504,0.330363,19,5,l,0
22470,2023-12-23 17:00:00,Serie_A,2023,Verona,Cagliari,Home,2,0,0.986759,1.20911,13,12,w,3
