match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result
18209,2022-08-07 13:00:00,EPL,2022,Brighton,Manchester United,Away,2,1,1.7289,1.42103,16,17,w
18213,2022-08-13 14:00:00,EPL,2022,Brighton,Newcastle United,Home,0,0,1.60835,0.183952,13,4,d
18229,2022-08-21 13:00:00,EPL,2022,Brighton,West Ham,Away,2,0,1.82645,0.768634,11,13,w
18234,2022-08-27 14:00:00,EPL,2022,Brighton,Leeds,Home,1,0,1.60986,1.14874,13,10,w
18242,2022-08-30 18:30:00,EPL,2022,Brighton,Fulham,Away,1,2,1.75359,1.07093,8,10,l
18259,2022-09-04 13:00:00,EPL,2022,Brighton,Leicester,Home,5,2,2.73166,1.06549,23,7,w
18288,2022-10-01 14:00:00,EPL,2022,Brighton,Liverpool,Away,3,3,2.36567,2.1515,7,15,d
18294,2022-10-08 16:30:00,EPL,2022,Brighton,Tottenham,Home,0,1,0.899735,0.771641,14,8,l
18303,2022-10-14 19:00:00,EPL,2022,Brighton,Brentford,Away,0,2,2.15668,1.90636,21,7,l
18315,2022-10-18 18:30:00,EPL,2022,Brighton,Nottingham Forest,Home,0,0,2.10188,0.195003,19,3,d
18326,2022-10-22 14:00:00,EPL,2022,Brighton,Manchester City,Away,1,3,0.52863,1.86239,8,10,l
18335,2022-10-29 14:00:00,EPL,2022,Brighton,Chelsea,Home,4,1,2.881,1.07554,19,17,w
18351,2022-11-05 15:00:00,EPL,2022,Brighton,Wolverhampton Wanderers,Away,3,2,1.87375,1.29252,19,8,w
18353,2022-11-13 14:00:00,EPL,2022,Brighton,Aston Villa,Home,1,2,0.829107,1.15437,7,8,l
18371,2022-12-26 15:00:00,EPL,2022,Brighton,Southampton,Away,3,1,1.00714,1.70709,7,15,w
18373,2022-12-31 17:30:00,EPL,2022,Brighton,Arsenal,Home,2,4,1.15663,3.22106,9,14,l
18387,2023-01-03 19:45:00,EPL,2022,Brighton,Everton,Away,4,1,2.50731,1.16896,19,10,w
18394,2023-01-14 15:00:00,EPL,2022,Brighton,Liverpool,Home,3,0,2.40062,1.28853,16,6,w
18407,2023-01-21 15:00:00,EPL,2022,Brighton,Leicester,Away,2,2,1.94491,1.35941,13,9,d
18414,2023-02-04 15:00:00,EPL,2022,Brighton,Bournemouth,Home,1,0,2.55696,0.908298,20,12,w
18424,2023-02-11 15:00:00,EPL,2022,Brighton,Crystal Palace,Away,1,1,2.64981,0.928279,17,6,d
18434,2023-02-18 15:00:00,EPL,2022,Brighton,Fulham,Home,0,1,2.71375,0.224214,21,5,l
18455,2023-03-04 15:00:00,EPL,2022,Brighton,West Ham,Home,4,0,3.49993,0.250045,20,3,w
18466,2023-03-11 15:00:00,EPL,2022,Brighton,Leeds,Away,2,2,1.51388,0.596738,14,13,d
18276,2023-03-15 19:30:00,EPL,2022,Brighton,Crystal Palace,Home,1,0,0.588727,1.21452,11,11,w
18484,2023-04-01 14:00:00,EPL,2022,Brighton,Brentford,Home,3,3,3.8195,1.2788,33,7,d
18266,2023-04-04 18:45:00,EPL,2022,Brighton,Bournemouth,Away,2,0,2.63392,1.15322,16,14,w
18500,2023-04-08 14:00:00,EPL,2022,Brighton,Tottenham,Away,1,2,1.47549,0.594139,17,9,l
18503,2023-04-15 14:00:00,EPL,2022,Brighton,Chelsea,Away,2,1,2.52107,0.46331,26,8,w
18524,2023-04-26 18:30:00,EPL,2022,Brighton,Nottingham Forest,Away,1,3,2.33064,2.43846,18,12,l
18535,2023-04-29 14:00:00,EPL,2022,Brighton,Wolverhampton Wanderers,Home,6,0,3.60471,0.603985,22,10,w
18475,2023-05-04 19:00:00,EPL,2022,Brighton,Manchester United,Home,1,0,2.09953,1.32105,22,16,w
18543,2023-05-08 16:30:00,EPL,2022,Brighton,Everton,Home,1,5,3.23717,2.94223,24,10,l
18552,2023-05-14 15:30:00,EPL,2022,Brighton,Arsenal,Away,3,0,2.21276,0.958651,12,14,w
18449,2023-05-18 18:30:00,EPL,2022,Brighton,Newcastle United,Away,1,4,0.593493,4.11359,9,22,l
18563,2023-05-21 13:00:00,EPL,2022,Brighton,Southampton,Home,3,1,2.41418,0.863659,26,5,w
18515,2023-05-24 19:00:00,EPL,2022,Brighton,Manchester City,Home,1,1,2.11486,1.92973,20,13,d
18573,2023-05-28 15:30:00,EPL,2022,Brighton,Aston Villa,Away,1,2,1.23117,2.55845,8,12,l
